Investigation.Type,Location,Abbreviation,Country,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,TRACY,CA,United States,Substantial,SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,KING SALMON,AK,United States,Substantial,DE HAVILLAND,DHC-2,1.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC
Accident,KING CITY,CA,United States,Substantial,BELL,47G-5,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,IMC
Accident,BROCKWAY,MT,United States,Substantial,AIR TRACTOR,AT-301,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC
Accident,TRACY,CA,United States,Destroyed,GRUMMAN,G-164B,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,AUGUSTA,GA,United States,Destroyed,PIPER,PA-46-350P,1.0,Reciprocating,Business,3.0,0.0,0.0,0.0,VMC
Accident,OSBORNE,KS,United States,Destroyed,PIPER,PA-36-285,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,WASHINGTON,NC,United States,Substantial,CESSNA,188B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,WALLACE,NE,United States,Substantial,SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,PERTHSHIRE,MS,United States,Substantial,AIR TRACTOR,502B,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,OMAHA,NE,United States,Substantial,PIPER,PA-31-325,2.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC
Accident,SALMON RIVER,ID,United States,Substantial,AIR TRACTOR,AT-802F,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,KAMAS,UT,United States,Destroyed,CESSNA,172N,1.0,Reciprocating,Business,1.0,1.0,0.0,0.0,VMC
Accident,SLOATSBURG,NY,United States,Substantial,BEECH,A36,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,HELENA,AR,United States,Substantial,AIR TRACTOR,AT-502,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,ADDISON,TX,United States,Substantial,CESSNA,T210L,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,ARCTIC VILLAGE,AK,United States,Substantial,PIPER,PA-18,1.0,Reciprocating,Business,0.0,1.0,0.0,0.0,VMC
Accident,IRONWOOD,MI,United States,Destroyed,NORTH AMERICAN,NA-265-80,2.0,Turbo Jet,Business,2.0,2.0,0.0,0.0,VMC
Accident,BAD AXE,MI,United States,Destroyed,AYRES,S2R-600,1.0,Turbo Prop,Aerial Application,1.0,0.0,0.0,0.0,VMC
Accident,DEERPARK,LA,United States,Destroyed,SCHWEIZER,G-164B,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,DEERPARK,LA,United States,Destroyed,AIR TRACTOR,AT-502,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,1.0,VMC
Accident,RENO,NV,United States,Substantial,BELLANCA,8GCBC,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,KAPLAN,LA,United States,Substantial,GRUMMAN-SCHWEIZER,G-164B,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,KEY WEST,FL,United States,Substantial,DOUGLAS,DC-3,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC
Accident,NEWHALEM,WA,United States,Substantial,BELL,206BII,1.0,Turbo Shaft,Business,0.0,0.0,0.0,1.0,VMC
Accident,BERLIN,GA,United States,Substantial,SCHWEIZER,G-164A,1.0,Turbo Prop,Aerial Application,0.0,0.0,0.0,1.0,VMC
Accident,PILOT POINT,AK,United States,Substantial,CESSNA,180,1.0,Reciprocating,Business,3.0,1.0,0.0,0.0,IMC
Accident,MISSION,SD,United States,Destroyed,CESSNA,340A,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,VMC
Accident,MAYVILLE,NY,United States,Destroyed,CESSNA,206H,1.0,Reciprocating,Business,0.0,1.0,0.0,0.0,VMC
